16,54,19,16,47,23,65,20,0
55,55,45,22,5,62,13,21,0
68,8,51,4,3,22,48,31,0
38,44,8,63,60,51,9,40,0
18,19,3,40,3,25,62,40,0
63,60,24,40,34,38,11,4,0
36,66,5,68,19,37,32,4,0
20,30,6,52,55,62,38,47,0
66,47,3,61,35,2,36,50,0
62,19,49,31,26,40,10,52,0
19,60,9,31,65,25,19,55,0
67,12,65,3,65,44,54,69,0
10,19,39,9,4,35,21,19,0
62,60,31,53,39,65,30,27,0
16,41,55,67,11,3,49,31,0
61,67,47,37,30,46,24,32,0
39,37,58,24,65,34,25,37,0
32,23,34,34,9,17,53,3,0
5,26,54,37,6,50,19,38,0
68,54,23,3,3,30,34,39,0
39,10,16,11,22,12,41,44,0
20,58,48,18,32,60,18,48,0
68,30,33,23,31,12,50,51,0
54,59,17,10,68,50,18,52,0
58,25,5,35,19,27,60,5,0
68,2,53,63,16,25,12,69,0
17,30,54,36,61,55,27,7,0
36,66,44,68,19,54,52,10,0
34,39,55,50,3,41,58,16,0
16,40,22,9,20,37,10,2,0
34,30,23,50,4,6,7,22,0
47,24,22,22,59,35,21,24,0
4,41,24,52,16,50,45,2,0
62,48,39,32,2,67,6,35,0
39,66,12,65,5,47,41,3,0
62,27,32,35,62,45,34,38,0
17,35,55,37,64,17,8,46,0
6,10,67,34,18,53,17,46,0
61,60,21,68,7,53,53,46,0
41,4,54,27,3,67,50,55,0
21,54,64,67,12,61,49,5,0
12,41,19,35,27,59,52,59,0
69,27,66,12,16,58,33,64,0
18,2,6,41,66,20,10,10,0
40,66,49,44,23,53,51,13,0
7,61,13,11,6,26,53,24,0
26,66,35,21,26,54,34,27,0
60,52,54,45,33,48,21,3,0
6,3,20,48,10,24,20,35,0
27,2,12,30,27,20,22,44,0
8,27,20,13,37,25,26,58,0
3,7,7,2,55,22,36,59,0
66,34,22,13,16,27,18,61,0
38,63,65,45,39,33,37,61,0
5,53,51,2,33,5,21,67,0
36,18,46,18,67,3,45,69,0
41,65,52,59,65,54,4,7,0
12,54,54,17,35,17,36,7,0
52,30,54,58,52,3,67,39,0
6,8,23,12,16,67,13,45,0
27,45,64,26,16,4,4,46,0
18,17,62,41,59,35,12,46,0
45,65,24,31,33,67,65,47,0
25,35,61,67,41,17,20,53,0
7,65,7,32,58,25,32,53,0
55,59,13,17,35,34,41,55,0
53,66,66,33,58,50,13,60,0
37,59,62,64,19,64,31,69,0
24,46,22,27,39,25,51,69,0
64,62,33,26,7,22,36,8,0
41,30,10,64,37,17,19,11,0
54,50,55,9,11,51,52,16,0
